Common name,Latin Name,Origin,Planted Adapt Class,Natural Adapt Class1,Projected change: Tree Atlas,Heat/ Hardiness zone effect,Overall vulnerability,Confidence,
Accolade elm,Ulmus 'Morton' Accolade,cultivar,high,n/a,not modeled,positive,low,medium,
Accolade flowering cherry,Prunus 'Accolade',cultivar,medium,n/a,not modeled,positive,low-moderate,low-medium,
Allegheny serviceberry,Amelanchier laevis,native,high,high,not modeled,no effect,low,low-medium,
American basswood (American linden),Tilia americana,native,medium,medium,no change,not evaluated,low-moderate,medium,
American beech,Fagus grandifolia,native,medium,medium,mixed results,not evaluated,moderate,medium,
American elm,Ulmus americana,native,medium,high,increase,not evaluated,low-moderate,medium-high,
American hornbeam,Carpinus caroliniana,native,high,high,increase,not evaluated,low,high,
American plum,Prunus americana,native,medium,medium,mixed results,not evaluated,moderate,low-medium,
American sycamore,Platanus occidentalis,native,medium,medium,increase,not evaluated,low-moderate,medium,
American witchhazel,Hamamelis virginiana,native,medium,high,not modeled,no effect,low-moderate,low,
Amur Cherry,Prunus maackii,nonnative,high,n/a,not modeled,*,low,low,
Amur corktree,Phellodendron amurense,invasive,medium,high,not modeled,no effect,low-moderate,low,
Amur honeysuckle,Lonicera maackii,Invasive,high,high,not modeled,no effect,low,low,
Amur maackia,Maackia amurensis,nonnative,high,n/a,not modeled,negative,moderate,low,
Amur maple,Acer ginnala,invasive,medium,n/a,not modeled,negative,moderate-high,low,
Apple serviceberry,Amelanchier x grandiflora,nonnative,high,n/a,not modeled,negative,moderate,low,
Apple/crabapple species,Malus spp.,cultivar,medium,n/a,not modeled,no effect,moderate,low,
Austrian pine,Pinus nigra,nonnative,medium,n/a,not modeled,positive,low-moderate,low,
Autumn-olive,Elaeagnus umbellata,invasive,medium,high,not modeled,no effect,low-moderate,low,
Baldcypress,Taxodium distichum,native,high,n/a,not modeled,positive,low,medium,
Balsam fir,Abies balsamea,native,medium,n/a,not modeled,negative,high,medium,
Bigtooth aspen,Populus grandidentata,native,low,high,decrease,not evaluated,high,medium-high,
Bitternut hickory,Carya cordiformis,native,medium,medium,increase,not evaluated,low-moderate,medium-high,
Black cherry,Prunus serotina,native,low,medium,decrease,not evaluated,high,medium-high,
Blackgum,Nyssa sylvatica,native,high,high,increase,not evaluated,low,high,
Blackhaw,Viburnum prunifolium,native,high,high,not modeled,no effect,low,low,
Black Hills spruce,Picea glauca var. densata,native,medium,n/a,not modeled,negative,moderate-high,low,
Black locust,Robinia pseudoacacia,native,medium,high,increase,not evaluated,low,high,
Black maple,Acer nigrum,native,medium,high,not modeled,no effect,moderate,low,
Black oak,Quercus velutina,native,medium,high,no change,not evaluated,low,medium,
Black walnut,Juglans nigra,native,medium,medium,increase,not evaluated,moderate,medium,
Black willow,Salix nigra,native,low,low,increase,not evaluated,moderate,medium,
Blue spruce,Picea pungens,native,medium,n/a,not modeled,no effect,moderate,low,
Boxelder,Acer negundo,native,medium,high,increase,not evaluated,low,high,
Bur oak,Quercus macrocarpa,native,high,high,no change,not evaluated,low,medium-high,
Callery pear,Pyrus calleryana,invasive,medium,n/a,not modeled,positive,low-moderate,low,
Cherry plum,Prunus cerasifera,nonnative,medium,n/a,not modeled,positive,low-moderate,low,
Chestnut oak,Quercus montana,native,high,high,not modeled,no effect,low,low,
Chinese catalpa,Catalpa ovata,nonnative,medium,n/a,not modeled,*,moderate,low,
Chinese chestnut,Castanea mollissima,nonnative,medium,n/a,not modeled,no effect,moderate,low,
Chinese fringetree,Chionanthus retusus,nonnative,high,n/a,not modeled,positive,low,low,
Chinese juniper,Juniperus chinensis,nonnative,high,n/a,not modeled,no effect,low,low,
Chinkapin oak,Quercus muehlenbergii,native,medium,medium,new habitat,not evaluated,moderate,medium,
Cockspur hawthorn,Crataegus crus-galli,native,high,n/a,not modeled,negative,moderate,low,
Common chokecherry,Prunus virginiana,native,medium,medium,decrease,not evaluated,moderate-high,low-medium,
Common elderberry,Sambucus nigra,native,medium,high,not modeled,no effect,low-moderate,low,
Common hackberry,Celtis occidentalis,native,high,high,increase,not evaluated,low,high,
Common lilac,Syringa vulgaris,nonnative,medium,n/a,not modeled,no effect,moderate,low,
Common pear,Pyrus communis,nonnative,low,n/a,not modeled,no effect,moderate-high,low,
Common persimmon,Diospyros virginiana,native,high,n/a,new habitat,not evaluated,low,high,
Cornelian cherry dogwood,Cornus mas,cultivar,medium,n/a,not modeled,no effect,moderate,low,
Crimean linden,Tilia x euchlora,nonnative,high,n/a,not modeled,negative,moderate,low,
Cucumbertree,Magnolia acuminata,native,medium,n/a,not modeled,no effect,moderate,low,
