Species                            Count
-------------------------------  -------
Gleditsia triacanthos inermis       3482
Planting Site                       2891
arbor (Thuja occidentalis            886
Stump                                809
Prunus spp.                          699
Crataegus spp.                       661
Acer tataricum ginnala               307
Amelanchier grandifolia              285
Ulmus x                              277
Acer griseum                         247
Syringa reticulata' Ivory Silk'      214
Planting - Do Not Plant              194
Styphnolobium japonicum              188
Amelanchier spp.                     174
Koelreuteria paniculata              170
Taxus spp.                           166
Cladrastis kentukea                  159
Parrotia persica                     145
Acer freemanii                       111
Quercus muelenbergii                 110
Stump - Do not grind                 106
Amelanchier canadensis               105
Tsuga candensis                       89
Juniperus spp.                        82
Acer tataricum                        77
Crataegus crusgalli                   74
Private Tree                          67
Malus pumila                          62
Juglans cinerea                       59
unknown tree                          55
Unknown spp.                          49
Prunus avium                          46
Tilia euchlora Crimean                37
Larix laricina                        36
Ulmus spp.                            36
Betula pendula                        34
Eucommia ulmoides                     34
Pyrus spp.                            33
Rhamnus frangula                      33
Magnolia x 'Soulangiana'              33
Quercus robur                         31
Celtis Magnifica                      30
Thuja plicata                         30
Ulmus parvifolia                      30
Stewartia pseudocamellia              25
Tilia mongolica                       25
Tilia cordata 'Glenleven'             19
Syringa reticulata 'Summer'           15
Magnolia spp.                         15
Cotinus spp.                          15
VARIOUS                               15
Acer platanoides 'Crimson King'       14
Pinus mugo                            13
Fraxinus excelsior                    13
Acer Truncatum                        12
Larix kaempferi                       12
Picea engelmannii                     11
Picea rubens                          11
Prunus serrulata                      10
Tilia cordata 'Redmond'                9
Fraxinus spp.                          9
Sambucus canadensis                    8
Acer platanoides 'Globe'               8
Sorbus americana                       8
Salix spp.                             7
Asimina triloba                        7
Larix spp.                             6
Thuja spp.                             6
Quercus acutissima                     6
Ulmus x Accolade                       6
Sorbus spp.                            6
Juglans regia                          6
Malus Cortland                         6
Quercus spp.                           5
Cornus spp.                            5
Chamaecyparis pisifera                 5
Halesia tetrapetera                    5
Carya illinoensis                      5
Quercus prinus                         5
Salix alba                             4
Ulmus prop-emerald shine               4
Betula spp.                            4
Stump Ash                              4
Syringa spp.                           4
Platycladus orientalis                 4
Salix matsudana                        4
Acer pensylvanicum                     4
Prunus x yedoensis                     4
Morus spp.                             4
Ulmus alata                            3
Lonicera spp.                          3
Prunus sargentii 'Accolade'            3
Hamamelis Vernalis                     3
Acer spp.                              3
Fraxinus nigra                         3
Prunus serrulata 'Kwanzan'             3
Picea spp.                             3
Chamaecyparis nootkatensis             2
Planting Site - Hold                   2
Chamaecyparis lawsoniana               2
Kalopanax pictus                       2
Carpinus spp.                          2
Pinus spp.                             2
Crataegus viridis                      2
Abies koreana                          2
Pinus ponderosa                        2
Acer grandidentatum                    2
Corylus americana                      2
Acer buergerianum                      2
Planting Site -cancel                  2
Albizia julibrissin                    2
Zelkova sinica                         1
Rhamnus spp.                           1
Ptelea trifoliata                      1
Abies fraseri                          1
Betula alleghaniensis                  1
Prunus, cerasifera 'Newportii'         1
Populus spp.                           1
Rhus glabra                            1
Pinus thunbergii                       1
Populus nigra                          1
Tree Butt                              1
Fraxinus lanceolata 'Patmore'          1
Catalpa bungei                         1
Euonymus spp.                          1
Castanea dentata                       1
Vegetation                             1
