Latin Name                    Overall vulnerability      count
----------------------------  -----------------------  -------
Acer platanoides              moderate                    6079
Malus spp.                    moderate                    2449
Tilia cordata                 low                         1752
Acer saccharum                moderate                    1620
Acer saccharinum              low-moderate                1541
Pyrus calleryana              low-moderate                1361
Fraxinus pennsylvanica        moderate                    1031
Acer rubrum                   low-moderate                 889
Platanus x acerifolia         moderate                     862
Acer negundo                  low                          856
Ginkgo biloba                 low                          825
Zelkova serrata               low                          660
Syringa reticulata            moderate                     654
Acer campestre                low                          628
Celtis occidentalis           low                          595
Tilia americana               low-moderate                 567
Picea pungens                 moderate                     553
Quercus rubra                 low-moderate                 542
Picea abies                   moderate                     515
Carpinus caroliniana          low                          479
Pinus nigra                   low-moderate                 476
Robinia pseudoacacia          low                          420
Gymnocladus dioicus           low                          406
Cercis canadensis             low-moderate                 392
Quercus bicolor               low-moderate                 338
Ostrya virginiana             low-moderate                 319
Maackia amurensis             moderate                     308
Juglans nigra                 moderate                     284
Picea glauca                  high                         281
Gleditsia triacanthos         low-moderate                 275
Acer x freemanii              low                          265
Juniperus virginiana          low-moderate                 251
Carpinus betulus              low                          242
Liriodendron tulipifera       moderate                     234
Ailanthus altissima           low                          222
Ulmus americana               low-moderate                 214
Rhamnus cathartica            low                          213
Aesculus hippocastanum        moderate                     213
Cercidiphyllum japonicum      high                         201
Pseudotsuga menziesii         high                         199
Catalpa speciosa              moderate-high                192
Morus alba                    low-moderate                 166
Quercus alba                  moderate-high                163
Pinus sylvestris              moderate-high                162
Nyssa sylvatica               low                          157
Acer miyabei                  low                          156
Fraxinus americana            moderate-high                152
Liquidambar styraciflua       low-moderate                 149
Pinus strobus                 high                         141
Corylus colurna               moderate                     139
Populus deltoides             moderate                     136
Betula nigra                  low-moderate                 130
Amelanchier arborea           low                          127
Cornus mas                    moderate                     112
Quercus palustris             low-moderate                 110
Platanus occidentalis         low-moderate                 105
Prunus serotina               high                          98
Acer palmatum                 moderate                      98
Quercus coccinea              moderate                      90
Quercus macrocarpa            low                           86
Carya cordiformis             low-moderate                  83
Tilia tomentosa               moderate                      78
Abies concolor                moderate-high                 72
Fagus sylvatica               low-moderate                  71
Quercus imbricaria            low-moderate                  68
Cornus florida                low-moderate                  59
Metasequoia glyptostroboides  moderate                      54
Larix decidua                 moderate-high                 52
